Household_ID,Month,Income,Expense,Festival,Travel_Days,Emergency,Family_Size,Dependents,EMI_Loan,Savings_Rate,Inflation,City_Tier,Household_Type_Code
HH001,Jan-2021,34360,62648,1,4,0,1,0,6119,19.4,4.89,3,1
HH001,Feb-2021,37109,36158,0,0,0,1,0,6164,23.4,5.09,3,1
HH001,Mar-2021,35042,21590,0,1,0,1,0,5084,22.8,4.98,3,1
HH001,Apr-2021,37125,32185,0,2,0,1,0,4181,21.7,4.68,3,1
HH001,May-2021,39935,36252,0,2,0,1,0,5799,19.5,4.84,3,1
HH001,Jun-2021,38206,33554,0,0,0,1,0,4317,17.6,4.99,3,1
HH001,Jul-2021,38710,29920,0,2,0,1,0,7156,15.4,5.1,3,1
HH001,Aug-2021,41037,52544,1,2,0,1,0,4454,22.0,5.13,3,1
HH001,Sep-2021,39438,37172,0,0,0,1,0,6165,22.3,5.02,3,1
HH001,Oct-2021,39099,54013,1,1,0,1,0,4496,17.5,5.23,3,1
HH001,Nov-2021,41097,54718,1,2,1,1,0,6108,21.8,5.08,3,1
HH001,Dec-2021,42513,47127,1,2,0,1,0,5327,15.6,4.78,3,1
HH001,Jan-2022,42185,48802,1,3,0,1,0,6293,23.8,5.04,3,1
HH001,Feb-2022,43109,30527,0,1,0,1,0,3431,19.7,5.05,3,1
HH001,Mar-2022,43498,52687,0,0,0,1,0,4947,18.0,5.18,3,1
HH001,Apr-2022,44468,34160,0,1,0,1,0,8003,23.9,5.12,3,1
HH001,May-2022,45723,43159,0,1,0,1,0,5376,18.5,5.35,3,1
HH001,Jun-2022,45467,39818,0,1,0,1,0,6816,25.8,5.15,3,1
HH001,Jul-2022,49660,49738,0,5,0,1,0,7957,21.8,5.28,3,1
HH001,Aug-2022,51894,44733,1,1,0,1,0,7801,23.8,5.09,3,1
HH001,Sep-2022,51699,58377,0,2,0,1,0,5332,19.9,5.57,3,1
HH001,Oct-2022,48465,64953,1,3,1,1,0,6637,18.9,5.36,3,1
HH001,Nov-2022,48819,72403,1,2,0,1,0,6486,20.8,5.22,3,1
HH001,Dec-2022,52762,35040,1,1,0,1,0,5273,25.9,5.36,3,1
HH001,Jan-2023,53256,55235,1,2,0,1,0,7858,18.8,5.36,3,1
HH001,Feb-2023,52343,45873,0,0,0,1,0,8473,22.4,5.44,3,1
HH001,Mar-2023,50798,42954,0,3,0,1,0,7689,22.9,5.62,3,1
HH001,Apr-2023,53671,36755,0,1,0,1,0,7958,19.2,5.44,3,1
